"NomEntreprise","Adresse","Municipalite","CodePostal","Territoire","SiteWeb","NEQ","CategorieMembre","Type","SecteurActivite","lat","long"
"Festival de la galette sarrasin de Louiseville inc.","790 Rue du Golf","Trois-Rivières","G8W2J2",NA,"www.festivalsarrasin.com",NA,"Membre COLLECTIF","autre","autre",46.394414,-72.598604
"Flore Sauvage Coopérative Brassicole","3521 chemin de Sainte-Flore","Shawinigan","G9T1A6",NA,"floresauvage.com",1176837319,"Membre COLLECTIF","cooperative-de-travail","autre",46.613941,-72.737502
"Festival Western de St-Tite","107-581 rue St-Paul","Saint-Tite","G0X3H0",NA,"fwst.ca",1142374173,"Membre COLLECTIF","obnl-a-volet-marchand","autre",46.727695,-72.564289
"Moisson Mauricie / Centre-du-Québec","1579 rue Laviolette","Trois-Rivières","G9A1W5",NA,"www.moisson-mcdq.org",1142392787,"Membre COLLECTIF","mrc-mekinac","autre",46.353473,-72.551308
"SIT-Mauricie","1090 DeLaVérendrye","Trois-Rivières","G9A2S8",NA,"sitmauricie.com",NA,"Membre COLLECTIF","obnl-a-volet-marchand","soins-de-sante-et-assistance-sociale",46.339633,-72.554544
"HBSA","14635 rue des Mahonias","Bécancour","G9H0W1",NA,NA,NA,"Citoyen COLLECTIF","autre","autre",46.331544,-72.509158
"IDÉ TR","370 rue des Forges","Trois-Rivières","G9A2H1",NA,"idetr.com",NA,"Partenaire COLLECTIF","obnl-a-volet-marchand","service-professionnels-scientifiques-techniques",46.342321,-72.543279
"Intentionelle","403 carré jean garnier","Trois-Rivières","G9B1C8",NA,NA,NA,"Membre ÉMERGENCE","obnl-a-volet-marchand","service-professionnels-scientifiques-techniques",46.309166,-72.588274
"Les Sages Fous","80 rue Saint-François-Xavier","Trois-Rivières","G9A0A6",NA,"www.sagesfous.com",1148328249,"Membre COLLECTIF","obnl-a-volet-marchand","industrie-de-linformation-et-industrie-culturelle",46.34342,-72.536725
"Aide Chez Soi Coop d'aide à domicile de la MRC de Maskinongé","760 boul. Saint-Laurent Est","Louiseville","J5V1H9",NA,"cadmaski.com",NA,"Membre COLLECTIF","cooperative-de-consommateurs","autre",46.25776,-72.918795
"Stratégie Carrière","310-7175 Rue Marion","Trois-Rivières","G9A5Z9",NA,"www.strategiecarriere.com",1147831383,"Partenaire COLLECTIF","mrc-mekinac","service-professionnels-scientifiques-techniques",46.325362,-72.580351
"Centre Shambala","3562 Rue Trudel","Shawinigan","G9N6R7",NA,NA,NA,"Membre ÉMERGENCE","obnl-a-volet-marchand","autre",46.567777,-72.760495
"Développement Mauricie","1243 rue Hart","Trois-Rivières","G9A4S4",NA,NA,1163785091,"Partenaire COLLECTIF","mrc-mekinac","autre",46.343406,-72.541687
"La Bourgade, coop de Solidarité","1461 3rang","Saint-Luc-de-Vincennes","G0X3K0",NA,"www.facebook.com/labourgadecoop",1179157699,"Membre COLLECTIF","cooperative-de-solidarite","autre",46.4959,-72.419486
"La Brouette","493 rue Ste-Julie","Trois-Rivières","G9A1X4",NA,"www.labrouette.ca",2263801989,"Membre COLLECTIF","obnl-a-volet-marchand","autre",46.345469,-72.543436
"Les Villages Étudiants inc (Camp et Auberge du Lac en Coeur)","858 rue Laviolette","Trois-Rivières","G9A5J1",NA,"www.camplacencoeur.qc.ca",NA,"Membre COLLECTIF","mrc-mekinac","autre",46.349071,-72.544762
"Coop Aux berges du Lac Castor","3800 rue des Alumettes","Saint-Paulin","J0K3G0",NA,"www.laccastor.com",1147555271,"Membre COLLECTIF","cooperative-de-travail","hebergement-et-restauration",46.443677,-73.034349
"La Criaillerie","1623 avenue Saint-Marc","Shawinigan","G9N5E3",NA,"lacriaillerie.ca",NA,"Membre ÉMERGENCE","obnl-a-volet-marchand","industrie-de-linformation-et-industrie-culturelle",46.551321,-72.745612
"Le Bon Citoyen","45 Rue Fusey","Trois-Rivières","G8T2T6",NA,"www.leboncitoyen.org",1142458521,"Membre COLLECTIF","obnl-a-volet-marchand","autre",46.364352,-72.528935
"Les Horizons ouverts","7750 Boulevard Des Hêtres","Shawinigan","G9N4X4",NA,"leshorizonsouverts.com",1161146619,"Membre COLLECTIF","obnl-a-volet-marchand","commerce-de-detail",46.583446,-72.715473
"Les Diplomates","114 Place Pruneau","Shawinigan","G9P1A2",NA,"lesdiplomates.org",1163675946,"Membre ÉMERGENCE","obnl-a-volet-marchand","industrie-de-linformation-et-industrie-culturelle",46.525011,-72.73673
"Les terres du possible - MRC de CHENAUX","630 rue Principale","Saint-Luc-de-Vincennes","G0X3K0",NA,"www.lesterresdupossible.ca",NA,"Partenaire COLLECTIF","autre","agriculture-foresterie-peche-et-chasse",46.496996,-72.420015
"Centre Ressources Naissance de la Mauricie - Rive-Sud","690 boul. des Récollets","Trois-Rivières","G8Z3V9",NA,"www.ressourcesnaissance.ca",NA,"Membre COLLECTIF","obnl-a-volet-marchand","autre",46.361643,-72.568398
"Groupe Voix de Femmes","1210 chemin Principal","Saint-Mathieu-du-Parc","G0X1N0",NA,"facebook.com/voixfemmestradition",NA,"Membre COLLECTIF","obnl-a-volet-marchand","autre",46.602149,-72.869765
"Coopérative de Solidarité du marché public de shawinigan","2093 AV CHAMPLAIN","Shawinigan","G9N2L3",NA,NA,1164900699,"Membre COLLECTIF","cooperative-de-solidarite","autre",46.554563,-72.743178
"Maina (Maison d'accueil et d'intégration pour les nouvelles arrivantes)","204-240 rue des Forges","Trois-Rivières","G9A2G8",NA,NA,NA,"Membre ÉMERGENCE","obnl-a-volet-marchand","autre",46.811972,-71.350684
"Coop Nourricière","730 rue Saint-Joseph","Saint-Barnabé","G0X2K0",NA,"www.facebook.com/CoopNourriciere",1178612330,"Membre COLLECTIF","cooperative-de-solidarite","agriculture-foresterie-peche-et-chasse",46.393264,-72.877837
"Café Boutchoux","1121 rue Louis-de-France","Trois-Rivières","G8T1A5",NA,NA,NA,"Membre ÉMERGENCE","cooperative-de-solidarite","autre",46.428501,-72.588621
"MRC de Maskinongé","651 boul. Saint-Laurent Est","Louiseville","J5V1J1",NA,"mrcmaskinonge.ca",NA,"Partenaire COLLECTIF","autre","service-professionnels-scientifiques-techniques",46.257837,-72.922992
"Club Multivoile 4 saisons","2920 Boul Nérée-Beauchemin","Trois-Rivières","G8Z1B4",NA,"www.multivoile.com",1143822824,"Membre COLLECTIF","obnl-a-volet-marchand","autre",46.363433,-72.570688
"Lumina Stratégies","450 23e avenue est","Shawinigan","G9T7A3",NA,"luminastrategies.ca",2271285670,"Citoyen COLLECTIF","autre","service-professionnels-scientifiques-techniques",46.6249,-72.70202
"Oasis - Agriculture Urbaine","323-253 3e Rue de la Pointe","Shawinigan","G9N1H5",NA,"www.facebook.com/ProjetOasisShawinigan",1179154860,"Membre ÉMERGENCE","obnl-a-volet-marchand","agriculture-foresterie-peche-et-chasse",46.539137,-72.747783
"Université du Québec à Trois-Rivières","3351 boulevard des Forges","Trois-Rivières","G9A5H7",NA,"uqtr.ca",1143874817,"Partenaire COLLECTIF","autre","autre",46.348038,-72.57778
"Tardif, Stratégies d'affaires","506 rue Bonaventure","Trois-Rivières","G9A2B4",NA,"www.patricetardif.com",2274559410,"Partenaire COLLECTIF","autre","service-professionnels-scientifiques-techniques",46.34439,-72.544157
"Plein Air Ville-Joie","11-441 Notre-Dame Ouest","Trois-Rivières","G9B6W5",NA,"ville-joie.com",1146554531,"Membre COLLECTIF","obnl-a-volet-marchand","hebergement-et-restauration",46.282138,-72.678275
"Route Douze","1781 P. Dizy-Montplaisir","Trois-Rivières","G8V0H3",NA,"www.routedouze.com",NA,"Membre ÉMERGENCE","obnl-a-volet-marchand","service-denseignement",46.399056,-72.530658
"SAMBBA OBV Batiscan-Champlain","211 rue de l'Église","Sainte-Geneviève-de-Batiscan","G0X2R0",NA,"www.sambba.qc.ca",NA,"Membre COLLECTIF","obnl-a-volet-marchand","service-professionnels-scientifiques-techniques",46.534739,-72.341161
"Sourire Mobile Mauricie","125-1060 rue St-François-Xavier","Trois-Rivières","G9A1R8",NA,"souriremobile",1174399668,"Partenaire COLLECTIF","obnl-a-volet-marchand","soins-de-sante-et-assistance-sociale",46.350433,-72.545267
"Aide Chez Soi des Chenaux","44 chemin Rivière-à-Veillet","Ste-Geneviève-de-Batiscan","G0X2R0",NA,"www.aidechezsoideschenaux.com",NA,"Membre COLLECTIF","obnl-a-volet-marchand","soins-de-sante-et-assistance-sociale",46.539736,-72.341331
"Table de concertation du mouvement des femmes de la Mauricie","315-1060 rue St-François-Xavier","Trois-Rivières","G9A1R8",NA,"tcmfm.ca",1145073905,"Partenaire COLLECTIF","mrc-mekinac","autre",46.350433,-72.545267
"Transport Adapté du Comté de Maskinongé","624 rue Dalcourt","Louiseville","J5V2Z6",NA,"www.tacm82.org",1143539626,"Membre COLLECTIF","mrc-mekinac","transport-et-entreposage",46.261458,-72.954223
"Un pour tous","1586 rue Louis-de-France","Trois-Rivières","G8W2C2",NA,NA,1176881242,"Membre ÉMERGENCE","cooperative-de-solidarite","service-professionnels-scientifiques-techniques",46.437183,-72.575667
"La Ruche Québec","301-1220 boulevard Lebourgneuf","Québec","G2K2G4",NA,"laruchequebec.com",1165893182,"Partenaire COLLECTIF","obnl-a-volet-marchand","finance-et-assurances",46.834637,-71.29944
"Ville de La Tuque","323 rue St-François","La Tuque","G9X1S2",NA,"www.ville.latuque.qc.ca",8831855885,"Partenaire COLLECTIF","autre","autre",47.437561,-72.783672
"Service de développement artistique interculturel Voix de Pasaj","127 rue Radisson","Trois-Rivières","G9A2C5",NA,"www.facebook.com/Voixdepasaj",1178069440,"Membre COLLECTIF","obnl-a-volet-marchand","autre",46.342573,-72.540543
"Constantia (Service d'intervention de proximité en milieu familial)","5-25 rue de Boucherville","Trois-Rivières","G8W1E8",NA,NA,NA,"Membre ÉMERGENCE","autre","soins-de-sante-et-assistance-sociale",46.369826,-72.562039
"La Zone entrepreneuriale","445 rue des Volontaires","Trois-Rivières","G9A2E7",NA,"lazoneentrepreneuriale.ca",NA,"Partenaire COLLECTIF","autre","service-professionnels-scientifiques-techniques",46.343071,-72.54468
