"NEQ","NomEntreprise","Adresse","Municipalite","Adresse_Lign3","CodePostal","SecteurActivite","FormeJuridique","lat","long"
1144519734,"CLUB ÂGE D'OR ST-SACREMENT TROIS-RIVIÈRES","3375 rue Chagnon","Trois-Rivières (Québec)",NA,"G8Y5T6","VIE ACTIVE, SPORTIVE, PÉTANQUE ETC.","APE",46.33991,-72.607306
1144475911,"SOCIÉTÉ DENTAIRE DE LA MAURICIE ( S.D.M. )","761 boul. Thibeau","Trois-Rivières (Québec)",NA,"G8T7A4","ORGANISER DES FORMATIONS SCIENTIFIQUES AUX DENTISTES ET HYGIÉNISTES DENTAIRES.","APE",46.385412,-72.548302
1144481281,"CENTRE DE LA PETITE ENFANCE LE MANÈGE DES TOUT-PETITS INC.","2090 10e Rue","Shawinigan (Québec)",NA,"G9T6V8","FOURNIR DES SERVICES DE GARDE ÉDUCATIFS AUX ENFANTS COORDONNER, SURVEILLER ET CONTRÔLER EN MILIEU FAMILIAL DE TELS SERVICES","APE",46.618352,-72.711242
1144481315,"Fondation InterVal du CIUSSS MCQ","206-1775 RUE Nicolas-Perrot","Trois-Rivières (Québec)",NA,"G9A1C5","FONDATION","APE",46.359845,-72.548034
1144502011,"CLUB MOTONEIGE DE MATTAWIN","3911 Route 155","Trois-Rives (Québec)",NA,"G0X2C0","CLUB DE MOTONEIGE","APE",46.9003,-72.928509
1144462521,"COMMISSION DE DÉVELOPPEMENT ECONOMIQUE ET CULTUREL DE CHARETTE (CODEC) INC.","390 rue Saint-Édouard","Charette (Québec)",NA,"G0X1E0","ENTREPRISE À BUT NON LUCRATIF, COMMISSION DE DÉVELOPPEMENT","APE",46.444649,-72.920963
1144524742,"CLUB LIONS INTERNATIONAL DE TROIS-RIVIERES INC.","275 rue des Roses","Trois-Rivières (Québec)",NA,"G8V1T1","AIDE AUX NON VOYANTS","APE",46.38735,-72.489849
1144527232,"Assemblée chrétienne de Cap-de-la-Madeleine","225 rue Lupien","Trois-Rivières (Québec)",NA,"G8T6W5","LIEUX DE CULTE CONGRÉGATION","APE",46.367658,-72.525607
1144528123,"ASSEMBLÉE CHRÉTIENNE DE GRAND'MÈRE","1751 av. du Bocage","Shawinigan (Québec)",NA,"G9T0J6","PROMOUVOIR ET ENCOURAGER LA LECTURE DE LA BIBLE QUI EST LA PAROLE DE DIEU","APE",46.614719,-72.717046
1144510600,"SYNDICAT DES PRODUCTEURS ACERICOLES DU CENTRE DU QUEBEC","2410 rue de l'Industrie","Trois-Rivières (Québec)",NA,"G8Z4R5","ORGANISATION SYNDICALE AGRICOLE DE MISE EN MARCHE","APE",46.332979,-72.583558
